iter	Passed	Remaining
664	9263	3022
665	9277	3008
666	9291	2994
667	9304	2980
668	9318	2966
669	9330	2952
670	9344	2938
671	9357	2924
672	9370	2910
673	9383	2895
674	9396	2881
675	9410	2867
676	9424	2853
677	9437	2839
678	9451	2825
679	9464	2811
680	9476	2797
681	9490	2783
682	9505	2769
683	9519	2755
684	9532	2741
685	9545	2727
686	9558	2713
687	9571	2698
688	9585	2685
689	9598	2670
690	9612	2657
691	9625	2642
692	9638	2628
693	9650	2614
694	9665	2600
695	9679	2586
696	9694	2573
697	9709	2559
698	9723	2545
699	9736	2531
700	9750	2517
701	9763	2503
702	9776	2489
703	9789	2475
704	9802	2460
705	9814	2446
706	9828	2432
707	9841	2418
708	9854	2404
709	9867	2390
710	9881	2376
711	9895	2362
712	9908	2348
713	9921	2334
714	9935	2320
715	9948	2306
716	9962	2292
717	9976	2278
718	9990	2264
719	10002	2250
720	10016	2236
721	10029	2222
722	10042	2208
723	10056	2194
724	10069	2180
725	10083	2166
726	10097	2152
727	10112	2139
728	10125	2125
729	10138	2111
730	10151	2097
731	10164	2082
732	10178	2068
733	10192	2055
734	10206	2041
735	10219	2027
736	10232	2013
737	10245	1999
738	10258	1985
739	10272	1971
740	10286	1957
741	10299	1943
742	10312	1929
743	10325	1915
744	10339	1901
745	10353	1887
746	10366	1873
747	10379	1859
748	10392	1845
749	10406	1831
750	10419	1817
751	10433	1803
752	10447	1789
753	10461	1775
754	10475	1762
755	10489	1748
756	10503	1734
757	10516	1720
758	10530	1706
759	10542	1692
760	10556	1678
761	10570	1664
762	10583	1650
763	10595	1636
764	10609	1622
765	10622	1608
766	10636	1594
767	10649	1580
768	10662	1566
769	10674	1552
770	10688	1538
771	10701	1524
772	10717	1511
773	10730	1497
774	10744	1483
775	10757	1469
776	10770	1455
777	10783	1441
778	10796	1427
779	10810	1413
780	10823	1399
781	10836	1385
782	10850	1371
783	10863	1357
784	10876	1344
785	10890	1330
786	10903	1316
787	10916	1302
788	10929	1288
789	10943	1274
790	10957	1260
791	10970	1246
792	10983	1232
793	10997	1218
794	11010	1204
795	11023	1190
796	11036	1177
797	11049	1163
798	11063	1149
799	11078	1135
800	11090	1121
801	11103	1107
802	11117	1093
803	11129	1079
804	11143	1065
805	11156	1052
806	11170	1038
807	11183	1024
808	11197	1010
809	11210	996
810	11223	982
811	11237	968
812	11250	954
813	11264	940
814	11280	927
815	11295	913
816	11311	899
817	11325	886
818	11339	872
819	11353	858
820	11366	844
821	11379	830
822	11393	816
823	11408	803
824	11424	789
825	11440	775
826	11457	761
827	11473	748
828	11489	734
829	11506	720
830	11521	707
831	11537	693
832	11555	679
833	11573	666
834	11589	652
835	11605	638
836	11623	624
837	11639	611
838	11655	597
839	11671	583
840	11689	569
841	11712	556
842	11732	542
843	11751	529
844	11769	515
845	11788	501
846	11808	487
847	11825	474
848	11840	460
849	11856	446
850	11872	432
851	11886	418
852	11902	404
853	11917	390
854	11933	376
855	11948	362
856	11967	349
857	11984	335
858	12002	321
859	12025	307
860	12042	293
861	12062	279
862	12079	265
863	12094	251
864	12110	238
865	12126	224
866	12144	210
867	12162	196
868	12181	182
869	12199	168
870	12218	154
871	12237	140
872	12257	126
873	12275	112
874	12293	98
875	12312	84
876	12328	70
877	12344	56
878	12363	42
879	12380	28
880	12395	14
881	12413	0
